EmployeeID;Attrition;Age;DistanceFromHome;MonthlyIncome;NumCompaniesWorked;PercentSalaryHike;TotalWorkingYears;TrainingTimesLastYear;YearsAtCompany;YearsSinceLastPromotion;YearsWithCurrManager;EnvironmentSatisfaction;JobSatisfaction;WorkLifeBalance;AverageDailyHours;BusinessTravel_NonTravel;BusinessTravel_Frequently;MS_Divorced;MS_Married
1;0;51;6;131160;1;11;1;5;1;0;0;3;4;2;6;0;0;0;1
2;0;31;10;41890;0;22;6;3;5;1;4;3;2;4;6;0;1;0;0
3;0;32;17;177790;1;15;5;2;5;0;3;2;2;1;6;0;1;0;1
4;0;38;2;83210;3;11;13;5;8;7;5;4;4;3;6;1;0;0;1
5;1;32;10;23420;4;12;9;2;6;0;4;4;1;3;7;0;0;0;0
6;0;46;8;40710;3;13;28;5;7;7;7;3;2;2;9;0;0;0;1
7;0;28;11;58130;2;20;5;2;1;0;0;1;3;1;5;0;0;0;0
8;0;29;18;31430;2;22;10;2;1;0;0;1;2;3;5;0;0;0;1
9;0;31;1;20976;0;21;10;2;9;7;8;2;4;3;5;0;0;0;1
10;0;25;7;134640;1;13;6;2;6;1;5;2;1;3;5;1;0;1;0
11;0;45;17;79910;0;13;21;2;20;4;10;3;4;3;7;0;0;0;1
12;1;36;26;33770;0;12;16;2;15;9;10;3;4;3;6;0;0;0;1
13;0;54;14;55380;0;17;28;2;20;4;10;4;1;3;7;0;0;0;0
14;0;47;1;57620;1;11;10;4;10;9;9;1;2;2;8;1;0;0;1
15;0;28;1;25920;1;14;5;2;5;0;4;4;4;2;5;0;0;0;1
16;0;37;1;53460;4;11;7;2;5;0;1;3;4;4;5;0;0;0;1
17;0;24;3;42130;1;12;3;3;3;1;0;4;3;4;5;0;0;0;0
18;1;37;1;41270;2;13;15;2;5;0;2;1;4;3;9;1;0;1;0
19;0;35;7;24380;7;16;10;5;7;6;2;2;2;2;5;0;0;1;0
20;0;38;8;68700;1;11;8;5;8;7;7;1;1;3;7;0;0;1;0
